Basis,Type,Atom,Shell,Hole,Electron,Overlap,Diff
1,S,1(F),1,-0.00,-0.00,0.00,0.00
2,X,1(F),2,0.00,0.00,0.00,-0.00
3,Y,1(F),2,0.08,0.00,0.02,-0.08
4,Z,1(F),2,0.00,0.00,0.00,-0.00
5,S,2(C),3,0.00,0.00,0.00,-0.00
6,X,2(C),4,0.00,0.00,0.00,-0.00
7,Y,2(C),4,0.78,0.17,0.37,-0.61
8,Z,2(C),4,0.01,0.00,0.00,-0.00
9,S,3(C),5,0.00,0.00,0.00,-0.00
10,X,3(C),6,0.01,0.00,0.00,-0.01
11,Y,3(C),6,0.31,0.03,0.10,-0.27
12,Z,3(C),6,0.00,0.00,0.00,-0.00
13,S,4(C),7,0.00,0.00,0.00,-0.00
14,X,4(C),8,0.01,0.00,0.00,-0.01
15,Y,4(C),8,0.12,0.05,0.08,-0.07
16,Z,4(C),8,0.01,0.00,0.00,-0.00
17,S,5(C),9,0.00,0.00,0.00,-0.00
18,X,5(C),10,0.02,0.00,0.00,-0.02
19,Y,5(C),10,0.75,0.11,0.28,-0.64
20,Z,5(C),10,0.02,0.00,0.01,-0.01
21,S,6(C),11,0.00,0.00,0.00,-0.00
22,X,6(C),12,0.01,0.00,0.00,-0.01
23,Y,6(C),12,0.20,0.04,0.09,-0.15
24,Z,6(C),12,0.01,0.00,0.01,-0.01
25,S,7(C),13,0.00,0.00,0.00,-0.00
26,X,7(C),14,0.01,0.00,0.00,-0.01
27,Y,7(C),14,0.22,0.05,0.10,-0.17
28,Z,7(C),14,0.00,0.00,0.00,-0.00
29,S,8(C),15,0.00,0.00,0.00,-0.00
30,X,8(C),16,0.04,0.00,0.01,-0.03
31,Y,8(C),16,0.09,0.16,0.12,0.07
32,Z,8(C),16,0.17,0.09,0.12,-0.07
33,S,9(N),17,0.01,0.00,0.00,-0.01
34,X,9(N),18,0.00,0.00,0.00,0.00
35,Y,9(N),18,0.37,0.10,0.19,-0.27
36,Z,9(N),18,0.12,0.07,0.09,-0.05
37,S,10(O),19,0.00,-0.00,0.00,-0.00
38,X,10(O),20,0.01,0.00,0.00,-0.01
39,Y,10(O),20,0.19,0.01,0.05,-0.17
40,Z,10(O),20,0.04,0.01,0.02,-0.04
41,S,11(C),21,0.02,0.00,0.01,-0.01
42,X,11(C),22,0.13,0.00,0.02,-0.13
43,Y,11(C),22,0.31,0.02,0.08,-0.28
44,Z,11(C),22,0.14,0.02,0.05,-0.12
45,S,12(C),23,0.01,0.00,0.00,-0.01
46,X,12(C),24,0.01,0.01,0.01,-0.00
47,Y,12(C),24,0.09,0.14,0.12,0.05
48,Z,12(C),24,0.21,0.08,0.13,-0.13
49,S,13(C),25,0.02,0.00,0.00,-0.02
50,X,13(C),26,0.13,0.00,0.02,-0.13
51,Y,13(C),26,0.24,0.08,0.14,-0.16
52,Z,13(C),26,0.08,0.05,0.07,-0.03
53,S,14(C),27,0.04,0.01,0.02,-0.03
54,X,14(C),28,0.01,0.03,0.02,0.02
55,Y,14(C),28,0.46,0.10,0.22,-0.36
56,Z,14(C),28,0.65,0.07,0.22,-0.58
57,S,15(C),29,-0.00,0.00,0.00,0.00
58,X,15(C),30,0.03,0.01,0.02,-0.02
59,Y,15(C),30,0.70,0.26,0.43,-0.43
60,Z,15(C),30,-0.01,0.21,0.00,0.22
61,S,16(C),31,0.02,0.00,0.01,-0.02
62,X,16(C),32,0.00,0.01,0.01,0.01
63,Y,16(C),32,0.23,0.30,0.26,0.07
64,Z,16(C),32,0.85,0.23,0.45,-0.61
65,S,17(O),33,0.00,0.00,0.00,-0.00
66,X,17(O),34,1.43,0.39,0.75,-1.04
67,Y,17(O),34,0.06,1.79,0.32,1.73
68,Z,17(O),34,4.79,0.00,0.07,-4.79
69,S,18(C),35,0.43,0.00,0.02,-0.43
70,X,18(C),36,0.90,9.21,2.89,8.31
71,Y,18(C),36,0.43,43.06,4.28,42.64
72,Z,18(C),36,0.27,0.09,0.16,-0.18
73,S,19(O),37,0.00,-0.00,0.00,-0.00
74,X,19(O),38,20.01,3.45,8.31,-16.56
75,Y,19(O),38,3.08,16.70,7.17,13.62
76,Z,19(O),38,51.58,0.05,1.64,-51.53
77,S,20(C),39,0.33,0.00,0.00,-0.33
78,X,20(C),40,3.18,0.52,1.29,-2.66
79,Y,20(C),40,0.84,2.01,1.30,1.16
80,Z,20(C),40,0.50,0.02,0.10,-0.47
81,S,21(C),41,0.07,0.00,0.01,-0.07
82,X,21(C),42,0.78,1.97,1.24,1.19
83,Y,21(C),42,0.16,6.78,1.04,6.62
84,Z,21(C),42,0.01,0.08,0.02,0.08
85,S,22(C),43,0.02,0.00,0.00,-0.02
86,X,22(C),44,0.44,0.10,0.21,-0.34
87,Y,22(C),44,0.11,0.29,0.18,0.18
88,Z,22(C),44,0.05,0.00,0.01,-0.04
89,S,23(C),45,0.02,0.00,0.00,-0.02
90,X,23(C),46,0.02,0.69,0.13,0.67
91,Y,23(C),46,0.00,2.55,0.06,2.55
92,Z,23(C),46,0.04,0.03,0.03,-0.02
93,S,24(N),47,0.09,0.00,0.00,-0.09
94,X,24(N),48,0.04,0.04,0.04,0.00
95,Y,24(N),48,0.01,0.18,0.03,0.17
96,Z,24(N),48,0.71,0.01,0.06,-0.71
97,S,25(C),49,0.00,0.00,0.00,0.00
98,X,25(C),50,-0.01,1.55,0.00,1.56
99,Y,25(C),50,0.01,5.74,0.27,5.73
100,Z,25(C),50,0.55,0.09,0.22,-0.46
101,S,26(H),51,0.00,0.00,0.00,-0.00
102,S,27(H),52,0.00,0.00,0.00,-0.00
103,S,28(H),53,0.00,0.00,0.00,-0.00
104,S,29(H),54,0.00,0.00,0.00,-0.00
105,S,30(H),55,0.00,0.00,0.00,-0.00
106,S,31(H),56,0.65,-0.00,0.00,-0.65
107,S,32(H),57,0.00,-0.00,0.00,-0.00
108,S,33(H),58,0.06,0.00,0.01,-0.06
109,S,34(H),59,0.23,0.00,0.02,-0.23
110,S,35(H),60,0.01,0.00,0.00,-0.01
111,S,36(H),61,0.07,0.00,0.01,-0.07
